ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	N/A
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	aid
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	N/A
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	N/A
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	sex"
site	String	101	Recommended	Site	N/A	Study Site	"ASITE	siteid"
clinicid	Integer	N/A	Recommended	Clinic ID	N/A	N/A	"ACLINIC	aclinic"
interv	Integer	N/A	Recommended	Intervention Status	0;1	"1=ITV	 intervention; 0=TAU	 treatment as usual"	N/A
visit	String	60	Recommended	Visit name	N/A	N/A	"WAVE	wave"
days_baseline	Integer	N/A	Recommended	Days since baseline	N/A	N/A	"LOF	lof"
asi1	Integer	N/A	Recommended	To what extent is this statement true for you... It is very important for me not to appear nervous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_13
asi2	Integer	N/A	Recommended	"To what extent is this statement true for you: When I cannot keep my mind on a task	 I worry that I might be going crazy."	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	"asi_r_34	worrygoingcrazy"
asi3	Integer	N/A	Recommended	To what extent is this statement true for you: It scares me when I feel shaky.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_9
asi4	Integer	N/A	Recommended	To what extent is this statement true for you: It scares me when I feel faint.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	N/A
asi5	Integer	N/A	Recommended	It is important to me to stay in control of my emotions.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_37
asi6	Integer	N/A	Recommended	It scares me when my heart beats rapidly.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_7
asi7	Integer	N/A	Recommended	It embarrasses me when my stomach growls.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_38
asi8	Integer	N/A	Recommended	It scares me when I am nauseous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_29
asi9	Integer	N/A	Recommended	"When I notice my heart is beating rapidly	 I worry that I might have a heart attack"	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_22
asi10	Integer	N/A	Recommended	It scares me when I become short of breath	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_3
asi11	Integer	N/A	Recommended	"When my stomach is upset	 I worry that I might be seriously ill"	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_26
asi12	Integer	N/A	Recommended	It scares me when I am unable to keep my mind on a task.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_35
asi13	Integer	N/A	Recommended	Other people notice when I feel shaky.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_39
asi14	Integer	N/A	Recommended	Unusual body sensations scare me.	0 :: 4; -5; -7; -8;999	"0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; -8=DON'T KNOW; -7=REFUSED; -5=Presented	 not answered; 999=Prefer not to answer/Left blank"	"asi_r_40	unusualbodysensations"
asi15	Integer	N/A	Recommended	"When I am nervous	 I worry that I might be mentally ill."	0 :: 4; -5; -7; -8;999	"0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; -8=DON'T KNOW; -7=REFUSED; -5=Presented	 not answered; 999=Prefer not to answer/Left blank"	"asi_r_41	worrymentallyill"
asi16	Integer	N/A	Recommended	It scares me when I am nervous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_42
asi	Float	N/A	Required	Anxiety Sensitivity Index	N/A	N/A	"asi_rs	asi_total"
iasi	Float	N/A	Recommended	Imputed ASI	N/A	N/A	N/A
timept	Integer	N/A	Recommended	Time Point	N/A	888 = not applicable; 999 = missing	timepoint
asi_6	Integer	N/A	Recommended	"When I tremble in the presence of others	 I fear what people might think of me"	0::4	0=Very little; 1=A little; 2=Some; 3=Much; 4=Very much	asi_r_17
asi_7	Integer	N/A	Recommended	"When my chest gets tight	 I get scared that I won't be able to breathe properly."	0::4	0 = Very little; 4 = Very much	asi_r_4
asi_8	Integer	N/A	Recommended	"When I feel pain in my chest	 I worry that I'm going to have a heart attack."	0::4	0=Very little; 1=A little; 2=Some; 3=Much; 4=Very much	asi_r_24
asi_9	Integer	N/A	Recommended	I worry that other people will notice my anxiety.	0::4	0 = Very little; 4 = Very much	asi_r_16
asi_10	Integer	N/A	Recommended	"When I feel spacey or spaced out	 I worry that I may be mentally ill."	0::4	0 = Very little; 4 = Very much	asi_r_31
asi_11	Integer	N/A	Recommended	It scares me when I blush in front of people	0::4	0 = Very little; 4 = Very much	asi_r_19
asi_12	Integer	N/A	Recommended	"When I notice my heart skipping a beat	 I worry that there is something seriously wrong with me."	0::4	0=Very little; 1=A little; 2=Some; 3=Much; 4=Very much	asi_r_27
asi_13	Integer	N/A	Recommended	"When I begin to sweat in a social situation	 I fear people will think negatively of me."	0::4	0 = Very little; 4 = Very much	asi_r_18
asi_14	Integer	N/A	Recommended	"When my thoughts seem to speed up	 I worry that I might be going crazy."	0::4	0=Very little; 1=A little; 2=Some; 3=Much; 4=Very much	asi_r_32
asi_15	Integer	N/A	Recommended	"When my throat feels tight	 I worry that I could choke to death."	0::4	0 = Very little; 4 = Very much	asi_r_6
asi_16	Integer	N/A	Recommended	"When I have trouble thinking clearly	 I worry that there is something wrong with me."	0::4	0=Very little; 1=A little; 2=Some; 3=Much; 4=Very much	asi_r_33
asi17	Integer	N/A	Recommended	I think it would be horrible for me to faint in public	0::4	0 = Very little; 4 = Very much	asi_r_15
asi18	Integer	N/A	Recommended	"When my mind goes blank	 I worry there is something terribly wrong with me."	0::4	0 = Very little; 4 = Very much	asi_r_36
asi_r_14	Integer	N/A	Recommended	I believe it would be awful to vomit in public	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_20	Integer	N/A	Recommended	"When I feel a strong pain in my stomach	 I worry that it might me cancer"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_21	Integer	N/A	Recommended	"When my head is pounding	 I worry that I could have a stroke"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_23	Integer	N/A	Recommended	"When my face feels numb	 I worry that I might be having a stroke"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
