	ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
0	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		
1	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			aid
2	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			
3	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	
4	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	sex"
10	asi1	Integer		Recommended	To what extent is this statement true for you... It is very important for me not to appear nervous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_13
11	asi2	Integer		Recommended	"To what extent is this statement true for you: When I cannot keep my mind on a task	 I worry that I might be going crazy."	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	"asi_r_34	worrygoingcrazy"
12	asi3	Integer		Recommended	To what extent is this statement true for you: It scares me when I feel shaky.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_9
13	asi4	Integer		Recommended	To what extent is this statement true for you: It scares me when I feel faint.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	
14	asi5	Integer		Recommended	It is important to me to stay in control of my emotions.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_37
15	asi6	Integer		Recommended	It scares me when my heart beats rapidly.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_7
16	asi7	Integer		Recommended	It embarrasses me when my stomach growls.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_38
17	asi8	Integer		Recommended	It scares me when I am nauseous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_29
18	asi9	Integer		Recommended	"When I notice my heart is beating rapidly	 I worry that I might have a heart attack"	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_22
19	asi10	Integer		Recommended	It scares me when I become short of breath	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_3
20	asi11	Integer		Recommended	"When my stomach is upset	 I worry that I might be seriously ill"	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_26
21	asi12	Integer		Recommended	It scares me when I am unable to keep my mind on a task.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_35
22	asi13	Integer		Recommended	Other people notice when I feel shaky.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_39
23	asi14	Integer		Recommended	Unusual body sensations scare me.	0 :: 4; -5; -7; -8;999	"0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; -8=DON'T KNOW; -7=REFUSED; -5=Presented	 not answered; 999=Prefer not to answer/Left blank"	"asi_r_40	unusualbodysensations"
24	asi15	Integer		Recommended	"When I am nervous	 I worry that I might be mentally ill."	0 :: 4; -5; -7; -8;999	"0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; -8=DON'T KNOW; -7=REFUSED; -5=Presented	 not answered; 999=Prefer not to answer/Left blank"	"asi_r_41	worrymentallyill"
25	asi16	Integer		Recommended	It scares me when I am nervous.	0::4;999	0 = Very little; 1 = A little; 2 = Some; 3 = Much; 4 = Or very much; 999 = Prefer not to answer/Left blank	asi_r_42
26	asi	Float		Required	Anxiety Sensitivity Index			"asi_rs	asi_total"
61	asi_time_first_click	String	11.0	Recommended	Time at first click		HH:MM:SS AM/PM	
62	asi_time_last_click	String	11.0	Recommended	Time at last click		HH:MM:SS AM/PM	
63	asi_time_page_submit	String	11.0	Recommended	Time at scale submission		HH:MM:SS AM/PM	
64	asi_time_click_count	Integer		Recommended	Number of clicks during scale completion			
65	asi_tot_timing	Float		Recommended	Total time to complete scale		In minutes	
66	qc_asi_num_items	Integer		Recommended	Quality Control (QC) ASI number of items completed			
67	qc_asi_tot_num_nonresp	Integer		Recommended	QC ASI number of non-response items			
68	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		"BAPQ_SubjectKey	subject_key_father	subject_key_mother"
69	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			"BAPQ_src_subject_id	bapq_m_src_mother_id 	individual	measure_individual	src_subject_id_father	src_subject_id_mother"
70	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			"BAPQ_DOE	bapq_interview_date_f	bapq_interview_date_i	bapq_interview_date_i_m	bapq_interview_date_m	measure_date_of_evaluation"
71	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	"BAPQ_Age	age_father	age_mother	dad_age	measure_eval_age_months	mom_age"
72	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	gender_f	gender_m"
73	rel_to_proband	String	25.0	Required	The relationship of this individual to the Proband	Proband; Self; Mother; Father; Sibling; Other; Nonbiological mother; Nonbiological father		"bapq_rel_child_f	rel_to_proband_f	rel_to_proband_m"
74	bapq_completed_by	String	25.0	Required	The relationship of the individual who this BAPQ is about to the individual who completed this BAPQ	Self;Spouse/Partner;Father;Mother;Both Parents;Other;Teacher;Step/Adoptive Parent;Unknown; Friend		"bapq_completed_by_f	bapq_completed_by_m	bapq_inform_rel_f	bapq_inform_rel_m"
76	bapq_q1	Integer		Recommended	I like being around other people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q1_f	bapq_q1_i_f	bapq_q1_i_m	bapq_q1_m	bapq_raw_q01_like_around_people	q01_like_around_people"
78	bapq_q2	Integer		Recommended	I find it hard to get my words out smoothly	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q2_f	bapq_q2_i_f	bapq_q2_i_m	bapq_q2_m	bapq_raw_q02_words_smoothly	q02_words_smoothly"
79	bapq_q3	Integer		Recommended	I am comfortable with unexpected changes in plans	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q3_f	bapq_q3_i_f	bapq_q3_i_m	bapq_q3_m	bapq_raw_q03_comfortable_changes	q03_comfortable_changes"
81	bapq_q4	Integer		Recommended	It's hard for me to avoid getting sidetracked in conversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q4_f	bapq_q4_i_f	bapq_q4_i_m	bapq_q4_m	bapq_raw_q04_avoid_sidetracked	q04_avoid_sidetracked"
82	bapq_q5	Integer		Recommended	I would rather talk to people to get information than to socialize	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q5_f	bapq_q5_i_f	bapq_q5_i_m	bapq_q5_m	bapq_raw_q05_talk_for_information	q05_talk_for_information"
83	bapq_q6	Integer		Recommended	People have to talk me into trying something new	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q6_f	bapq_q6_i_f	bapq_q6_i_m	bapq_q6_m	bapq_raw_q06_talk_me_into_new	q06_talk_me_into_new"
84	bapq_q7	Integer		Recommended	"""I am """"in-tune"""" with the other person during conversation"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q7_f	bapq_q7_i_f	bapq_q7_i_m	bapq_q7_m	bapq_raw_q07_in_tune_with_conversation	q07_in_tune_with_conversation"
86	bapq_q8	Integer		Recommended	I have to warm myself up to the idea of visiting an unfamiliar place	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q8_f	bapq_q8_i_f	bapq_q8_i_m	bapq_q8_m	bapq_raw_q08_unfamiliar_place	q08_unfamiliar_place"
87	bapq_q9	Integer		Recommended	I enjoy being in social situations	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q9_f	bapq_q9_i_f	bapq_q9_i_m	bapq_q9_m	bapq_raw_q09_enjoy_social_situations	q09_enjoy_social_situations"
